,Date,Close,Date_String,Month
3,1986-10-01,141.40499877929688,1986-10-01,10
7,1987-10-01,156.25,1987-10-01,10
11,1988-10-01,177.41000366210938,1988-10-01,10
15,1989-10-01,223.8350067138672,1989-10-01,10
19,1990-10-01,200.52999877929688,1990-10-01,10
23,1991-10-01,330.8550109863281,1991-10-01,10
27,1992-10-01,360.18499755859375,1992-10-01,10
31,1993-10-01,398.2799987792969,1993-10-01,10
36,1994-10-01,404.2699890136719,1994-10-01,10
40,1995-10-01,576.22998046875,1995-10-01,10
44,1996-10-01,821.3599853515625,1996-10-01,10
48,1997-10-01,990.8300170898438,1997-10-01,10
52,1998-10-01,1836.010009765625,1998-10-01,10
56,1999-10-01,3707.830078125,1999-10-01,10
60,2000-10-01,2341.699951171875,2000-10-01,10
64,2001-10-01,1577.050048828125,2001-10-01,10
68,2002-10-01,984.3699951171875,2002-10-01,10
72,2003-10-01,1467.9200439453125,2003-10-01,10
76,2004-10-01,1621.1199951171875,2004-10-01,10
80,2005-10-01,1645.199951171875,2005-10-01,10
84,2006-10-01,1756.9000244140625,2006-10-01,10
88,2007-10-01,2084.929931640625,2007-10-01,10
92,2008-10-01,1211.6500244140625,2008-10-01,10
96,2009-10-01,1860.31005859375,2009-10-01,10
100,2010-10-01,2217.860107421875,2010-10-01,10
104,2011-10-01,2277.830078125,2011-10-01,10
108,2012-10-01,2660.929931640625,2012-10-01,10
112,2013-10-01,3592.0,2013-10-01,10
116,2014-10-01,4236.27978515625,2014-10-01,10
120,2015-10-01,4593.27001953125,2015-10-01,10
124,2016-10-01,4863.6201171875,2016-10-01,10
128,2017-10-01,6396.419921875,2017-10-01,10
132,2018-10-01,6329.97021484375,2018-10-01,10
136,2019-10-01,8733.0703125,2019-10-01,10
140,2020-10-01,12888.2802734375,2020-10-01,10
144,2021-10-01,15801.4599609375,2021-10-01,10
